token,symbol,name
21077,SURANASOL-EQ,SURANASOL
3021,SOTL-EQ,SOTL
14687,GOACARBON-EQ,GOACARBON
15228,UJJIVANSFB-EQ,UJJIVANSFB
15174,TRIL-EQ,TRIL
31258,NDL-EQ,NDL
2854,CRAFTSMAN-EQ,CRAFTSMAN
24969,WINDMACHIN-EQ,WINDMACHIN
1491,IFCI-EQ,IFCI
2739,PRSMJOHNSN-EQ,PRSMJOHNSN
7936,AVANTIFEED-EQ,AVANTIFEED
1186,GLAND-EQ,GLAND
993,EVERESTIND-EQ,EVERESTIND
8736,PNBGILTS-EQ,PNBGILTS
20936,KIRLOSENG-EQ,KIRLOSENG
2885,RELIANCE-EQ,RELIANCE
16921,20MICRONS-EQ,20MICRONS
14278,ORIENTBELL-EQ,ORIENTBELL
1576,GILLETTE-EQ,GILLETTE
255,NIRAJ-EQ,NIRAJ
11884,MANINDS-EQ,MANINDS
20534,GRAVITA-EQ,GRAVITA
25640,IDBIGOLD-EQ,IDBIGOLD
13756,SHIVAMAUTO-EQ,SHIVAMAUTO
